Pixel Value,Frequency
0,208790
1,70449
2,43447
3,30055
4,24360
5,20957
6,18561
7,16648
8,15229
9,13553
10,11850
11,10395
12,9146
13,7927
14,6951
15,5850
16,5155
17,4425
18,3714
19,3071
20,2717
21,2264
22,1959
23,1704
24,1523
25,1313
26,1133
27,968
28,895
29,777
30,684
31,631
32,559
33,472
34,480
35,467
36,415
37,351
38,337
39,306
40,282
41,216
42,240
43,220
44,184
45,183
46,167
47,163
48,128
49,132
50,109
51,112
52,98
53,111
54,88
55,82
56,80
57,72
58,60
59,65
60,48
61,54
62,50
63,41
64,45
65,44
66,42
67,34
68,42
69,41
70,34
71,28
72,15
73,19
74,25
75,21
76,17
77,12
78,14
79,15
80,17
81,18
82,19
83,22
84,22
85,11
86,11
87,18
88,14
89,7
90,7
91,7
92,9
93,9
94,13
95,10
96,9
97,7
98,12
99,6
100,7
101,8
102,7
103,6
104,5
105,8
106,5
107,6
108,4
109,8
110,3
111,1
112,3
113,5
114,5
115,6
116,1
117,5
118,4
119,2
120,5
121,0
122,4
123,3
124,2
125,3
126,1
127,2
128,5
129,0
130,3
131,0
132,1
133,2
134,1
135,3
136,0
137,1
138,0
139,2
140,1
141,1
142,1
143,1
144,1
145,2
146,0
147,2
148,0
149,1
150,1
151,1
152,0
153,0
154,0
155,3
156,1
157,0
158,0
159,0
160,0
161,1
162,1
163,3
164,1
165,0
166,0
167,1
168,4
169,0
170,1
171,0
172,0
173,0
174,1
175,2
176,0
177,1
178,0
179,1
180,1
181,2
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,1
194,1
195,1
196,0
197,2
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,1
244,4
245,8
246,22
247,103
248,325
249,155
250,78
251,33
252,46
253,94
254,133
255,488
